Epoch 159/300 | avg loss: 0.055405                                                                                                                                                                                                                                             
Epoch 160/300 | avg loss: 0.055106                                                                                                                                                                                                                                             
  → saved ./outputs\20260615_234944\checkpoints\checkpoint_epoch_0160.pt
Epoch 161/300 | avg loss: 0.055663                                                                                                                                                                                                                                             
Epoch 162/300 | avg loss: 0.055337                                                                                                                                                                                                                                             
Epoch 163/300 | avg loss: 0.055327                                                                                                                                                                                                                                             
Epoch 164/300 | avg loss: 0.054786                                                                                                                                                                                                                                             
Epoch 165/300 | avg loss: 0.055783                                                                                                                                                                                                                                             
Epoch 166/300 | avg loss: 0.055254                                                                                                                                                                                                                                             
Epoch 167/300 | avg loss: 0.055257                                                                                                                                                                                                                                             
Epoch 168/300 | avg loss: 0.055411                                                                                                                                                                                                                                             
Epoch 169/300 | avg loss: 0.055485                                                                                                                                                                                                                                             
Epoch 170/300 | avg loss: 0.055495                                                                                                                                                                                                                                             
  → saved ./outputs\20260615_234944\checkpoints\checkpoint_epoch_0170.pt
Epoch 171/300 | avg loss: 0.055543                                                                                                                                                                                                                                             
Epoch 172/300 | avg loss: 0.054890                                                                                                                                                                                                                                             
Epoch 173/300 | avg loss: 0.054640                                                                                                                                                                                                                                             
Epoch 174/300 | avg loss: 0.054864                                                                                                                                                                                                                                             
Epoch 175/300 | avg loss: 0.054966                                                                                                                                                                                                                                             
Epoch 176/300 | avg loss: 0.054987                                                                                                                                                                                                                                             
Epoch 177/300 | avg loss: 0.054924                                                                                                                                                                                                                                             
Epoch 178/300 | avg loss: 0.055254                                                                                                                                                                                                                                             
Epoch 179/300 | avg loss: 0.055394                                                                                                                                                                                                                                             
Epoch 180/300 | avg loss: 0.055064                                                                                                                                                                                                                                             
  → saved ./outputs\20260615_234944\checkpoints\checkpoint_epoch_0180.pt
Epoch 181/300 | avg loss: 0.055578                                                                                                                                                                                                                                             
Epoch 182/300 | avg loss: 0.054951                                                                                                                                                                                                                                             
Epoch 183/300 | avg loss: 0.054542                                                                                                                                                                                                                                             
Epoch 184/300 | avg loss: 0.055052                                                                                                                                                                                                                                             
Epoch 185/300 | avg loss: 0.054936                                                                                                                                                                                                                                             
Epoch 186/300 | avg loss: 0.055599                                                                                                                                                                                                                                             
Epoch 187/300 | avg loss: 0.055221                                                                                                                                                                                                                                             
Epoch 188/300 | avg loss: 0.055461                                                                                                                                                                                                                                             
Epoch 189/300 | avg loss: 0.055337                                                                                                                                                                                                                                             
Epoch 190/300 | avg loss: 0.055102                                                                                                                                                                                                                                             
  → saved ./outputs\20260615_234944\checkpoints\checkpoint_epoch_0190.pt
Epoch 191/300 | avg loss: 0.056176                                                                                                                                                                                                                                             
Epoch 192/300 | avg loss: 0.055001                                                                                                                                                                                                                                             
Epoch 193/300 | avg loss: 0.055010                                                                                                                                                                                                                                             
Epoch 194/300 | avg loss: 0.055196                                                                                                                                                                                                                                             
Epoch 195/300 | avg loss: 0.054553                                                                                                                                                                                                                                             
Epoch 196/300 | avg loss: 0.055350                                                                                                                                                                                                                                             
Epoch 197/300 | avg loss: 0.055183                                                                                                                                                                                                                                             
Epoch 198/300 | avg loss: 0.054880                                                                                                                                                                                                                                             
Epoch 199/300 | avg loss: 0.054990                                                                                                                                                                                                                                             
Epoch 200/300 | avg loss: 0.054744                                                                                                                                                                                                                                             
  → saved ./outputs\20260615_234944\checkpoints\checkpoint_epoch_0200.pt
Epoch 201/300 | avg loss: 0.054871                                                                                                                                                                                                                                             
Epoch 202/300 | avg loss: 0.055374                                                                                                                                                                                                                                             
Epoch 203/300 | avg loss: 0.055497                                                                                                                                                                                                                                             
Epoch 204/300 | avg loss: 0.054505                                                                                                                                                                                                                                             
Epoch 205/300 | avg loss: 0.054805                                                                                                                                                                                                                                             
Epoch 206/300 | avg loss: 0.054985                                                                                                                                                                                                                                             
Epoch 207/300 | avg loss: 0.054671                                                                                                                                                                                                                                             
Epoch 208/300 | avg loss: 0.055187                                                                                                                                                                                                                                             
Epoch 209/300 | avg loss: 0.054553                                                                                                                                                                                                                                             
Epoch 210/300 | avg loss: 0.055171                                                                                                                                                                                                                                             
  → saved ./outputs\20260615_234944\checkpoints\checkpoint_epoch_0210.pt
Epoch 211/300 | avg loss: 0.054647                                                                                                                                                                                                                                             
Epoch 212/300 | avg loss: 0.054817                                                                                                                                                                                                                                             
Epoch 213/300 | avg loss: 0.054451                                                                                                                                                                                                                                             
Epoch 214/300 | avg loss: 0.055314                                                                                                                                                                                                                                             
Epoch 215/300 | avg loss: 0.054848                                                                                                                                                                                                                                             
Epoch 216/300 | avg loss: 0.054804                                                                                                                                                                                                                                             
Epoch 217/300 | avg loss: 0.055051                                                                                                                                                                                                                                             
Epoch 218/300 | avg loss: 0.054696                                                                                                                                                                                                                                             
Epoch 219/300 | avg loss: 0.055282                                                                                                                                                                                                                                             
Epoch 220/300 | avg loss: 0.054395                                                                                                                                                                                                                                             
  → saved ./outputs\20260615_234944\checkpoints\checkpoint_epoch_0220.pt
Epoch 221/300 | avg loss: 0.054759                                                                                                                                                                                                                                             
Epoch 222/300 | avg loss: 0.055110                                                                                                                                                                                                                                             
Epoch 223/300 | avg loss: 0.054765                                                                                                                                                                                                                                             
Epoch 224/300 | avg loss: 0.054583                                                                                                                                                                                                                                             
Epoch 225/300 | avg loss: 0.054531                                                                                                                                                                                                                                             
Epoch 226/300 | avg loss: 0.054518                                                                                                                                                                                                                                             
Epoch 227/300 | avg loss: 0.054625                                                                                                                                                                                                                                             
Epoch 228/300 | avg loss: 0.055453                                                                                                                                                                                                                                             
Epoch 229/300 | avg loss: 0.055021                                                                                                                                                                                                                                             
Epoch 230/300 | avg loss: 0.054867                                                                                                                                                                                                                                             
  → saved ./outputs\20260615_234944\checkpoints\checkpoint_epoch_0230.pt
Epoch 231/300 | avg loss: 0.054524                                                                                                                                                                                                                                             
Epoch 232/300 | avg loss: 0.055208                                                                                                                                                                                                                                             
Epoch 233/300 | avg loss: 0.054683                                                                                                                                                                                                                                             
Epoch 234/300 | avg loss: 0.054067                                                                                                                                                                                                                                             
Epoch 235/300 | avg loss: 0.054961                                                                                                                                                                                                                                             
Epoch 236/300 | avg loss: 0.053680                                                                                                                                                                                                                                             
Epoch 237/300 | avg loss: 0.054971                                                                                                                                                                                                                                             
Epoch 238/300 | avg loss: 0.054034                                                                                                                                                                                                                                             
Epoch 239/300 | avg loss: 0.054190                                                                                                                                                                                                                                             
Epoch 240/300 | avg loss: 0.054990                                                                                                                                                                                                                                             
